price,area,floor
811626.2,150.9054491313347,1
1906357.2,169.50220957870584,1
1490788.5,87.57018481887485,19
1237451.1,143.73111494104984,5
396435.4,135.7618974715623,13
396389.6,174.92455651824065,19
210358.9,185.91305907218907,12
1745734.7,51.82351572160802,16
1242118.5,151.1029878588189,25
1445337.9,57.77536986795936,25
139110.5,132.3287997616034,19
1942828.7,93.14490935655172,3
1681641.0,96.01648992832118,12
503444.3,102.94377551785348,30
445467.4,143.19386735744152,5
448468.6,100.1074948503154,2
678060.3,159.90485758854206,22
1097037.2,110.67910783608043,7
787818.8,60.25298004649379,13
653335.4,167.56397637261608,25
1184377.2,92.8637486889059,15
365038.3,114.9150319398894,22
655074.8,152.81658248328523,3
796087.5,99.8684235723068,28
966533.0,58.48784842200735,21
1591834.3,106.08815705192204,20
479380.2,191.66728740414555,5
1077045.4,146.26015959478372,24
1225587.7,150.72187230008103,8
188255.8,144.84232304564597,22
1254335.2,79.84882084391552,1
423995.8,112.75007961534202,8
223598.0,162.64096975449775,24
1902882.5,65.20593463297388,18
1934700.9,91.67791641345684,20
1635955.0,91.44786626987803,28
678766.2,114.8028391391759,16
182452.7,197.05531114132776,18
1400042.8,60.12538200257329,20
936289.7,127.80514915708926,12
331872.6,76.90470230183156,13
1040836.1,195.6014818114616,13
165338.2,66.99552570911963,10
1827708.8,110.54015035423868,7
591682.0,160.68274772519092,25
1358792.3,155.6831642041168,14
692251.0,113.40929553408984,30
1088129.2,101.97862519290774,24
1138749.5,109.6418567829306,16
451223.5,89.64143947379588,15
1942210.8,80.79994080601998,12
1572752.4,122.4559546338335,9
1931684.9,90.2800634101411,8
1800172.0,93.11924973458753,18
1236010.0,148.51340952118358,23
1727625.0,195.28059975498385,18
268135.8,140.54558008390626,13
472367.4,61.54692005974494,28
185931.8,61.33754207811005,27
769650.6,192.7134831268349,18
838486.9,94.59361854610005,15
615563.2,63.81004791237132,4
1674601.3,139.85668807255723,17
777831.3,143.5473167435399,5
633775.6,147.27572301780322,22
1131122.6,90.1103041786312,16
367756.0,52.26660263217126,9
1624174.3,194.7523054181708,10
188183.8,87.63395685366538,24
1975085.2,151.40394320788212,18
1567265.1,155.99448048180642,17
477559.8,141.50111256192287,18
110492.0,96.93610913204724,7
1649376.7,90.66443806460988,4
1408732.5,139.65024240540546,26
1485113.6,179.91434504175373,5
1565413.7,192.0100593385093,28
240684.8,65.88587066056364,23
781084.9,73.22429188965798,16
450894.0,191.71043881746195,3
1739896.5,160.4802842502189,26
1235265.0,182.449073724466,18
728706.2,80.39489512030147,29
220760.9,138.1378806664103,23
690866.4,155.17093916262104,21
717848.3,152.0167828170459,14
1423167.6,111.22275363000472,15
1311359.2,52.30923375369627,17
1785704.2,137.43890852063947,1
997208.4,87.96523087694132,25
327229.1,117.53813692143356,21
1455165.1,193.63715226257256,17
1545491.6,109.85529764636522,23
1166426.7,175.970240999664,25
1564837.6,78.28109086238767,11
1038211.6,150.86907470375434,17
1093192.4,196.55104316584152,26
784523.8,65.28396513094052,14
